word,dictionary definition
   battery,"a container consisting of one or more cells, in which chemical energy is converted into electricity and used as a source of power. a fortified emplacement for heavy guns. a set of similar units of equipment, typically when connected together. a series of small cages for the intensive rearing of farm animals, especially calves and poultry. the infliction of unlawful personal violence on another person, even where the contact does no physical harm. the pitcher and the catcher."
   arrival,the action or process of arriving
   legitimate,"conforming to the law or to rules. able to be defended with logic or justification; valid. constituting or relating to serious drama as distinct from musical comedy, revue, etc.. make lawful or justify"
   orientation,"the action of orienting someone or something relative to the points of a compass or other specified positions. a person's basic attitude, beliefs, or feelings in relation to a particular subject or issue. familiarization with something"
   inflation,the action of inflating something or the condition of being inflated. a general increase in prices and fall in the purchasing value of money
   cope,"(of a person) deal effectively with something difficult. a long, loose cloak worn by a priest or bishop on ceremonial occasions.. (in building) cover (a joint or structure) with a coping"
   flame,"a hot glowing body of ignited gas that is generated by something on fire. a vitriolic or abusive message posted on the Internet or sent by email, typically in quick response to another message. burn and give off flames. direct a vitriolic or abusive message at (someone) on the Internet or via email"
   cluster,a group of similar things or people positioned or occurring closely together. form a cluster or clusters
   host,a person who receives or entertains other people as guests. an animal or plant on or in which a parasite or commensal organism lives.. a person or animal that has received transplanted tissue or a transplanted organ.. a computer which stores a website or other data that can be accessed over the Internet or which provides other services to a network.. act as host at (an event) or for (a television or radio programme). store (a website or other data) on a server or other computer so that it can be accessed over the Internet. a large number of people or things. an army.. (in biblical use) the angels regarded collectively.. a flock of sparrows. the bread consecrated in the Eucharist
   wound,"an injury to living tissue caused by a cut, blow, or other impact, typically one in which the skin is cut or broken. inflict a wound on."
   dependent,"contingent on or determined by. requiring someone or something for financial or other support. (of a clause, phrase, or word) subordinate to another clause, phrase, or word. "
   shower,"a brief and usually light fall of rain, hail, sleet, or snow. a cubicle or bath in which a person stands under a spray of water to wash. a group of people perceived as incompetent or worthless. a party at which presents are given to someone, typically a woman who is about to get married or have a baby. (of a mass of small things) fall or be thrown in a shower. wash oneself in a shower"
   institutional,"of, in, or like an institution or institutions. (of advertising) intended to create prestige rather than immediate sales."
   depict,"represent by a drawing, painting, or other art form"
   operating,gerund or present participle of operate.
   flesh,the soft substance consisting of muscle and fat that is found between the skin and bones of a human or an animal. put weight on. stimulate (a hound or hawk) to hunt by feeding it a piece of flesh from a recently killed animal. remove the flesh adhering to (a skin or hide)
   garage,"a building for housing a motor vehicle or vehicles. a style of unpolished, energetic rock music associated with suburban amateur bands. a form of dance music incorporating elements of drum and bass, house music, and soul, characterized by a rhythm in which the second and fourth beats of the bar are omitted.. put or keep (a motor vehicle) in a garage"
   operator,"a person who operates equipment or a machine. a person or company that runs a business. a person who acts in a shrewd or manipulative way. a symbol or function denoting an operation (e.g. ×, +)."
   instructor,a person who teaches something
   collapse,(of a structure) suddenly fall down or give way. (of a person) fall down and become unconscious as a result of illness or injury. fail suddenly and completely. fold or be foldable into a small space. an instance of a structure falling down or giving way
   borrow,take and use (something belonging to someone else) with the intention of returning it. allow (a certain distance) when playing a shot to compensate for sideways motion of the ball due to a slope or other irregularity.. a slope or other irregularity on a golf course which must be compensated for when playing a shot.
   furthermore,in addition; besides (used to introduce a fresh consideration in an argument)
   comedy,"professional entertainment consisting of jokes and sketches, intended to make an audience laugh. a play characterized by its humorous or satirical tone and its depiction of amusing people or incidents, in which the characters ultimately triumph over adversity"
   mortgage,"a legal agreement by which a bank, building society, etc. lends money at interest in exchange for taking title of the debtor's property, with the condition that the conveyance of title becomes void upon the payment of the debt. convey (a property) to a creditor as security on a loan"
   sanction,a threatened penalty for disobeying a law or rule. official permission or approval for an action. give official permission or approval for (an action). impose a sanction or penalty on
   civilian,a person not in the armed services or the police force. relating to civilians
   twelve,equivalent to the product of three and four; two more than ten; 12
   weekly,"done, produced, or occurring once a week. once a week. a newspaper or periodical issued every week."
   habitat,"the natural home or environment of an animal, plant, or other organism"
   grain,"wheat or any other cultivated cereal used as food.. a single fruit or seed of a cereal. the smallest unit of weight in the troy and avoirdupois systems, equal to 1/5760 of a pound troy and 1/7000 of a pound avoirdupois (approximately 0.0648 gram).. the longitudinal arrangement or pattern of fibres in wood, paper, etc.. a person's character or natural tendency.. kermes or cochineal, or dye made from either of these.. give a rough surface or texture to. paint (something, especially furniture or interior surfaces) in imitation of the grain of wood or marble. remove hair from (a hide).. feed (a horse) on grain."
   brush,"an implement with a handle and a block of bristles, hair, or wire, used especially for cleaning, applying a liquid or powder to a surface, or arranging the hair. a light and fleeting touch. the bushy tail of a fox.. a drumstick with long wire bristles, used to make a soft hissing sound on drums or cymbals.. a piece of carbon or metal serving as an electrical contact with a moving part in a motor or alternator.. girls or women regarded sexually. remove (dust or dirt) by sweeping or scrubbing. touch lightly and gently. undergrowth, small trees, and shrubs."
   consciousness,the state of being aware of and responsive to one's surroundings. a person's awareness or perception of something
   devote,give all or most of one's time or resources to (a person or activity). invoke or pronounce a curse upon
   crack,"a line on the surface of something along which it has split without breaking apart. a sudden sharp or explosive noise. a joke, typically a critical or unkind one. enjoyable social activity; a good time. an attempt to achieve something. a potent hard crystalline form of cocaine broken into small pieces and inhaled or smoked. break or cause to break without a complete separation of the parts. make or cause to make a sudden sharp or explosive sound. find a solution to; decipher or interpret. tell (a joke). decompose (hydrocarbons) by heat and pressure with or without a catalyst to produce lighter hydrocarbons, especially in oil refining. very good or skilful"
   measurement,the action of measuring something
   province,"a principal administrative division of a country or empire. the whole of a country outside the capital, especially when regarded as lacking in sophistication or culture. an area of special knowledge, interest, or responsibility"
   ease,absence of difficulty or effort. make (something unpleasant or intense) less serious or severe. move carefully or gradually
   seize,take hold of suddenly and forcibly. take (an opportunity) eagerly and decisively. (of a feeling or pain) affect (someone) suddenly or acutely. strongly appeal to or attract (the imagination or attention). (of a machine with moving parts) become jammed. be in legal possession of. fasten or attach (someone or something) to something by binding with turns of rope
   ethics,moral principles that govern a person's behaviour or the conducting of an activity. the branch of knowledge that deals with moral principles
   nomination,the action of nominating or state of being nominated
   permission,the action of officially allowing someone to do a particular thing; consent or authorization
   wise,"having or showing experience, knowledge, and good judgement. become alert to or aware of something. make jokes or witty remarks. the manner or extent of something"
   actress,"a woman whose profession is acting on stage, in films, or on television"
   summit,the highest point of a hill or mountain. a meeting between heads of government. reach the summit of (a mountain or hill)
   acid,"a substance with particular chemical properties including turning litmus red, neutralizing alkalis, and dissolving some metals; typically, a corrosive or sour-tasting liquid of this kind.. a molecule or other species which can donate a proton or accept an electron pair in reactions.. the drug LSD. containing acid or having the properties of an acid; having a pH of less than 7.. sharp-tasting or sour. (of rock, especially lava) containing a relatively high proportion of silica"
   odds,"the ratio between the amounts staked by the parties to a bet, based on the expected probability either way"
   gifted,having exceptional talent or natural ability
   frustration,"the feeling of being upset or annoyed as a result of being unable to change or achieve something. the prevention of the progress, success, or fulfilment of something"
   medium,"an agency or means of doing something. the intervening substance through which sensory impressions are conveyed or physical forces are transmitted. a particular form of storage material for computer files, such as magnetic tape or discs.. the material or form used by an artist, composer, or writer. a person claiming to be in contact with the spirits of the dead and to communicate between the dead and the living.. the middle quality or state between two extremes; a reasonable balance. about halfway between two extremes of size or another quality; average"
   function,an activity that is natural to or the purpose of a person or thing. a relation or expression involving one or more variables. a thing dependent on another factor or factors. a large or formal social event or ceremony. work or operate in a proper or particular way
   physically,in a manner relating to the body as opposed to the mind. in a way that relates to the real world and things perceived through the senses as opposed to the mind
   grant,agree to give or allow (something requested) to. agree or admit to (someone) that (something) is true. a sum of money given by a government or other organization for a particular purpose
   distinguish,recognize or treat (someone or something) as different. manage to discern (something barely perceptible). make oneself worthy of respect by one's behaviour or achievements
   shore,"the land along the edge of a sea, lake, or other large body of water. a prop or beam set obliquely against something weak or unstable as a support.. support or hold up something with props or beams."
   repeatedly,over and over again; constantly
   lung,"each of the pair of organs situated within the ribcage, consisting of elastic sacs with branching passages into which air is drawn, so that oxygen can pass into the blood and carbon dioxide be removed. Lungs are characteristic of vertebrates other than fish, though similar structures are present in some other animal groups."
   firm,"having a solid, almost unyielding surface or structure. strongly felt and unlikely to change. make more solid or resilient. in a resolute and determined manner. a business concern, especially one involving a partnership of two or more people"
   running,the action or movement of a runner. the action of managing or operating something. (of water) flowing naturally or supplied to a building through pipes and taps. done while running. continuous or recurring over a long period
   correct,free from error; in accordance with fact or truth. put right (an error or fault)
   distinct,recognizably different in nature from something else of a similar type. readily distinguishable by the senses
   artistic,having or revealing natural creative skill
   discourse,written or spoken communication or debate. speak or write authoritatively about a topic
   basket,"a container used to hold or carry things, typically made from interwoven strips of cane or wire. a net fixed on a hoop used as the goal."
   ah,"used to express a range of emotions including surprise, pleasure, sympathy, and realization. in the year of the Hegira (used in the Muslim calendar for reckoning years from Muhammad's departure from Mecca in AD 622); of the Muslim era"
   fighting,"the action of fighting; violence or conflict. displaying or engaging in violence, combat, or aggression"
   impressive,"evoking admiration through size, quality, or skill; grand, imposing, or awesome"
   competitor,a person who takes part in a sporting contest
   ugly,"unpleasant or repulsive, especially in appearance. involving or likely to involve violence or other unpleasantness"
   worried,anxious or troubled about actual or potential problems
   portray,depict (someone or something) in a work of art or literature
   powder,"fine, dry particles produced by the grinding, crushing, or disintegration of a solid substance. loose, dry, newly fallen snow. apply cosmetic powder to (the face or body). reduce (a substance) to a powder by drying or crushing it"
   ghost,"an apparition of a dead person which is believed to appear or become manifest to the living, typically as a nebulous image. act as ghostwriter of (a work). glide smoothly and effortlessly. end a personal relationship with (someone) by suddenly and without explanation withdrawing from all communication"
   persuade,induce (someone) to do something through reasoning or argument
   moderate,"average in amount, intensity, quality, or degree. a person who holds moderate views, especially in politics. make or become less extreme, intense, rigorous, or violent. review (examination papers, results, or candidates) in relation to an agreed standard so as to ensure consistency of marking. (in academic and ecclesiastical contexts) preside over (a deliberative body) or at (a debate). monitor (an Internet forum or online discussion) for inappropriate or offensive content.. retard (neutrons) with a moderator"
   subsequent,coming after something in time; following
   continued,without a break in continuity; ongoing
   cookie,"a sweet biscuit.. a person of a specified kind. a plain bun.. a packet of data sent by an Internet server to a browser, which is returned by the browser each time it subsequently accesses the same server, used to identify the user or track their access to the server."
   carrier,"a person or thing that carries, holds, or conveys something. a person or company that undertakes the professional conveyance of goods or people. a person or animal that transmits a disease-causing organism to others, especially without suffering from it themselves. a substance used to support or convey another substance such as a pigment, catalyst, or radioactive material."
   cooking,"the practice or skill of preparing food by combining, mixing, and heating ingredients"
   frequent,occurring or done many times at short intervals. visit (a place) often
   ban,"officially or legally prohibit (something). an official or legal prohibition. a curse. a monetary unit of Romania, equal to one hundredth of a leu."
   swing,"move or cause to move back and forth or from side to side while suspended or on an axis. move by grasping a support from below and leaping. move or cause to move in a smooth, curving line. shift or cause to shift from one opinion, mood, or state of affairs to another. play music with a flowing but vigorous rhythm. (of an event, place, or way of life) be lively, exciting, or fashionable.. engage in group sex or swap sexual partners within a group, especially on a habitual basis.. a seat suspended by ropes or chains, on which someone may sit and swing back and forth.. an act of swinging. a discernible change in opinion, especially the amount by which votes or points scored change from one side to another. a style of jazz or dance music with a flowing but vigorous rhythm.. a swift tour involving a number of stops, especially one undertaken as part of a political campaign.. (in musical theatre) an understudy, typically one who covers multiple roles in the chorus of a particular production."
   orange,"a town in southern France, on the River Rhône, home of the ancestors of the Dutch royal house.. relating to the Orange Order. a large round juicy citrus fruit with a tough bright reddish-yellow rind. the leathery-leaved evergreen tree that bears the orange, native to warm regions of South and SE Asia. Oranges are a major commercial crop in many warm regions of the world.. a bright reddish-yellow colour like that of the skin of a ripe orange. a butterfly with mainly or partly orange wings.. reddish yellow"
   awful,"very bad or unpleasant. used to emphasize the extent of something, especially something unpleasant or negative. inspiring reverential wonder or fear.. awfully; very"
   admire,regard with respect or warm approval
   pet,"a domestic or tamed animal kept for companionship or pleasure. stroke or pat (an animal) affectionately. a fit of sulking or ill humour. polyethylene terephthalate.. positron emission tomography, a form of tomography used especially for brain scans."
   miracle,an extraordinary and welcome event that is not explicable by natural or scientific laws and is therefore attributed to a divine agency
   exceed,"be greater in number or size than (a quantity, number, or other measurable thing)"
   rhythm,"a strong, regular repeated pattern of movement or sound. the measured flow of words and phrases in verse or prose as determined by the relation of long and short or stressed and unstressed syllables. a regularly recurring sequence of events or processes"
   widespread,found or distributed over a large area or number of people
   killing,"an act of causing death, especially deliberately. causing death. exhausting or unbearable"
   lovely,very beautiful or attractive. an attractive woman or girl
   sin,an immoral act considered to be a transgression against divine law. commit a sin. sine.
   charity,"an organization set up to provide help and raise money for those in need. the voluntary giving of help, typically in the form of money, to those in need. kindness and tolerance in judging others"
   script,"handwriting as distinct from print; written characters. the written text of a play, film, or broadcast.. a candidate's written answers in an examination.. write a script for (a play, film, or broadcast). a doctor's prescription, especially one for narcotic drugs."
   tactic,an action or strategy carefully planned to achieve a specific end
   identification,the action or process of identifying someone or something or the fact of being identified. a person's sense of identity with someone or something. the association or linking of one thing with another
   transformation,"a marked change in form, nature, or appearance. a process by which one figure, expression, or function is converted into another one of similar value.. a process by which an element in the underlying logical deep structure of a sentence is converted to an element in the surface structure.. the genetic alteration of a cell by introduction of extraneous DNA, especially by a plasmid."
   everyday,happening or used every day; daily. each day; daily
   headline,"a heading at the top of an article or page in a newspaper or magazine. denoting or relating to a figure for unemployment based on the unadjusted total number of people out of work, as a percentage of the population. provide with a headline. appear as the star performer at (a concert)"
   crash,"(of a vehicle) collide violently with an obstacle or another vehicle. move or cause to move with force, speed, and sudden loud noise. (of shares, a business, etc.) suddenly drop in value or fail. (of a computer, computing system, or software) fail suddenly. enter (a party) without an invitation; gatecrash.. go to sleep, especially suddenly or in an improvised setting. a violent collision, typically of one vehicle with another or with an object. a sudden loud noise as of something breaking or hitting another object. a sudden disastrous drop in the value or price of something. a sudden failure which puts a computer system out of action. done rapidly or urgently and involving a concentrated effort. with a sudden loud sound. a coarse plain linen, woollen, or cotton fabric."
   venture,a risky or daring journey or undertaking. undertake a risky or daring journey or course of action. dare to do or say something that may be considered audacious (often used as a polite expression of hesitation or apology)
   invasion,an instance of invading a country or region with an armed force
   military,relating to or characteristic of soldiers or armed forces. the armed forces of a country
   nonetheless,in spite of that; nevertheless
   adequate,satisfactory or acceptable in quality or quantity
   piano,"a large keyboard musical instrument with a wooden case enclosing a soundboard and metal strings, which are struck by hammers when the keys are depressed. The strings' vibration is stopped by dampers when the keys are released and can be regulated for length and volume by two or three pedals.. (especially as a direction) softly. performed softly. a passage marked to be performed softly."
   grocery,a grocer's shop or business.
   intensity,"the quality of being intense. the measurable amount of a property, such as force, brightness, or a magnetic field"
   exhibit,publicly display (a work of art or item of interest) in an art gallery or museum or at a trade fair. manifest clearly (a quality or a type of behaviour). an object or collection of objects on public display in an art gallery or museum or at a trade fair
   high,"of great vertical extent. great, or greater than normal, in quantity, size, or intensity. great in rank, status, or importance. (of a sound or note) having a frequency at the upper end of the auditory range. feeling euphoric, especially from the effects of drugs or alcohol. (especially of food) unpleasantly strong-smelling because beginning to go bad. (of a vowel) produced with the tongue relatively near the palate.. a high point, level, or figure. a notably happy or successful moment. high school. at or to a considerable or specified height. highly. (of a sound) at or to a high pitch"
   blanket,a large piece of woollen or similar material used as a covering on a bed or elsewhere for warmth. a rubber surface used for transferring the image in ink from the plate to the paper in offset printing.. covering all cases or instances; total and inclusive. cover completely with a thick layer of something. take wind from the sails of (another craft) by passing to windward.
   margin,the edge or border of something. an amount by which something is won. provide with an edge or border. deposit an amount of money with a broker as security for (an account or transaction)
   principal,"first in order of importance; main. denoting an original sum invested or lent. the most important or senior person in an organization or group. a sum of money lent or invested, on which interest is paid. a person for whom another acts as an agent or representative. the person directly responsible for a crime.. a main rafter supporting purlins.. an organ stop sounding a main register of open flue pipes typically an octave above the diapason"
   quarterback,a player stationed behind the centre who directs a team's offensive play.. play as a quarterback for (a particular team)
   mouse,"a small rodent that typically has a pointed snout, relatively large ears and eyes, and a long tail.. a small handheld device which is moved across a mat or flat surface to move the cursor on a computer screen. a lump or bruise on or near the eye. (of a cat or owl) hunt for or catch mice. use a mouse to move or position a cursor on a computer screen"
   rope,"a length of thick strong cord made by twisting together strands of hemp, sisal, nylon, or similar material. a quantity of roughly spherical objects such as onions or beads strung together. the established procedures in an organization or area of activity. catch, fasten, or secure with rope. persuade someone, despite reluctance, to take part in (an activity)"
   concrete,"existing in a material or physical form; not abstract. a building material made from a mixture of broken stone or gravel, sand, cement, and water, which can be spread or poured into moulds and forms a mass resembling stone on hardening. cover (an area) with concrete. form (something) into a mass; solidify"
   prescription,an instruction written by a medical practitioner that authorizes a patient to be issued with a medicine or treatment. a recommendation that is authoritatively put forward. the establishment of a claim founded on the basis of a long or indefinite period of uninterrupted use or of long-standing custom.
   African-American,a black American.
   chase,"pursue in order to catch or catch up with. drive or cause to go in a specified direction. try to obtain (something owed or required). an act of pursuing someone or something. engrave (metal, or a design on metal). (in letterpress printing) a metal frame for holding the composed type and blocks being printed at one time.. the part of a gun enclosing the bore.. a groove or furrow cut in the face of a wall or other surface to receive a pipe or wire."
   document,"a piece of written, printed, or electronic matter that provides information or evidence or that serves as an official record.. record (something) in written, photographic, or other form"
   brick,"a small rectangular block typically made of fired or sun-dried clay, used in building.. a large and relatively heavy mobile phone, typically an early model with limited functionality. a generous, helpful, and reliable person. block or enclose with a wall of bricks. throw bricks at. cause (a smartphone or other electronic device) to become completely unable to function, typically on a permanent basis. be extremely worried or nervous."
   recruit,"enlist (someone) in the armed forces. replenish or reinvigorate (numbers, strength, etc.). a person newly enlisted in the armed forces and not yet fully trained."
   patch,"a piece of cloth or other material used to mend or strengthen a torn or weak point. a part of something marked out from the rest by a particular characteristic. a small piece of ground, especially one used for gardening. a particular period of time. a temporary electrical or telephone connection.. a small piece of code inserted into a program to improve its functioning or to correct a fault. mend or strengthen (fabric or clothing) with a patch. treat someone's injuries or repair the damage to something in an improvised way. connect by a temporary electrical, radio, or telephonic connection. improve or correct (a routine or program) by inserting a patch"
   consensus,a general agreement
   horror,"an intense feeling of fear, shock, or disgust. a bad or mischievous person, especially a child"
   recording,the action or process of recording sound or a performance for subsequent reproduction or broadcast
   changing,gerund or present participle of change
   painter,an artist who paints pictures. a person whose job is painting buildings. a rope attached to the bow of a boat for tying it to a quay.
   colonial,relating to or characteristic of a colony or colonies. (of animals or plants) living in colonies. a native or inhabitant of a colony. a house built in colonial style
   pie,"a baked dish of fruit, or meat and vegetables, typically with a top and base of pastry. used in names of birds that resemble the magpie, especially in having black-and-white plumage, e.g. tree pie.. a former monetary unit of India and Pakistan, equal to one twelfth of an anna."
   sake,"for the purpose of; in the interest of; in order to achieve or preserve. out of consideration for or in order to help or please someone. used to express impatience, annoyance, urgency, or desperation. a Japanese alcoholic drink made from fermented rice, traditionally drunk warm in small porcelain cups."
   gaze,"look steadily and intently, especially in admiration, surprise, or thought. a steady intent look"
   courage,the ability to do something that frightens one; bravery
   pregnancy,the condition or period of being pregnant
   swear,"make a solemn statement or promise undertaking to do something or affirming that something is the case. use offensive language, especially as an expression of anger"
   defeat,win a victory over (someone) in a battle or other contest; overcome or beat. an instance of defeating or being defeated
   clue,a piece of evidence or information used in the detection of a crime. a word or words giving an indication as to what is to be inserted in a particular space in a crossword. inform someone about a particular matter
   reinforce,"strengthen or support (an object or substance), especially with additional material"
   win,"be successful or victorious in (a contest or conflict). acquire or secure as a result of a contest, conflict, bet, or other endeavour. dry (hay) by exposure to the air.. a successful result in a contest, conflict, bet, or other endeavour; a victory"
   confusion,"uncertainty about what is happening, intended, or required. the state of being bewildered or unclear in one's mind about something"
   slice,"a thin, broad piece of food, such as bread, meat, or cake, cut from a larger portion. a utensil with a broad, flat blade for lifting foods such as cake and fish.. a stroke that makes the ball curve away to the right (for a left-handed player, the left), typically inadvertently.. cut (something, especially food) into slices. strike (the ball) or play (a stroke) so that the ball curves away to the right (for a left-handed player, the left)"
   occupation,"a job or profession. the action, state, or period of occupying or being occupied by military force. the action of living in or using a building or other place. for the sole use of the occupiers of the land concerned"
   dear,"regarded with deep affection. expensive. used as an affectionate or friendly form of address. at a high cost. used in expressions of surprise, dismay, or sympathy"
   coal,"a combustible black or dark brown rock consisting chiefly of carbonized plant matter, found mainly in underground seams and used as fuel. provide with a supply of coal"
   sacred,connected with God or a god or dedicated to a religious purpose and so deserving veneration
   criminal,a person who has committed a crime. relating to crime. (of an action or situation) deplorable and shocking
   formula,"a mathematical relationship or rule expressed in symbols. a list of ingredients with which something is made. a method or procedure for achieving something. a set form of words, especially one used in particular contexts or as a conventional usage. (usually followed by a numeral) a classification of racing car, especially by the engine capacity"
   cognitive,relating to cognition
   collective,done by people acting as a group. a cooperative enterprise
   exact,not approximated in any way; precise. demand and obtain (something) from someone
   uncle,the brother of one's father or mother or the husband of one's aunt
   square,"a plane figure with four equal straight sides and four right angles. an open, typically four-sided, area surrounded by buildings in a village, town, or city. the product of a number multiplied by itself. an L-shaped or T-shaped instrument used for obtaining or testing right angles. a person considered to be old-fashioned or boringly conventional in attitude or behaviour. a square meal. having the shape or approximate shape of a square. denoting a unit of measurement equal to the area of a square whose side is of the unit specified. at right angles; perpendicular. level or parallel. (of two people) owing nothing to each other. old-fashioned or boringly conventional. (of rhythm) simple and straightforward.. directly; straight. in a direction transversely across the field or pitch. make square or rectangular; give a square or rectangular cross section to. multiply (a number) by itself. make compatible; reconcile. balance (an account). bring (one's shoulders) into a position in which they appear square and broad, typically to prepare oneself for a difficult task or event. secure the help or acquiescence of (someone), especially by offering an inducement. pass (a ball) across the field, especially towards the centre.. set (a yard or other part of a ship) at right angles to the keel or other point of reference.. (of a planet) have a square aspect with (another planet or position)"
   captain,"the person in command of a ship. the leader of a team, especially in sports. (in the US) a police officer in charge of a precinct, ranking below a chief.. be the captain of (a ship, aircraft, or sports team)"
   sigh,"emit a long, deep audible breath expressing sadness, relief, tiredness, or similar. a long, deep audible exhalation expressing sadness, relief, tiredness, or similar"
   attribute,regard something as being caused by. a quality or feature regarded as a characteristic or inherent part of someone or something. a piece of information which determines the properties of a field or tag in a database or a string of characters in a display.. an attributive adjective or noun.. a real property which a statistical analysis is attempting to describe.
   dare,"have the courage to do something. defy or challenge (someone) to do something. take the risk of; brave. a challenge, especially to prove courage"
   okay,used to express agreement or acceptance. satisfactory but not especially good. in a satisfactory manner or to a satisfactory extent. an authorization or approval. give approval to. Oklahoma (in official postal use).
   homeless,"(of a person) without a home, and therefore typically living on the streets"
   cool,of or at a fairly low temperature. showing no friendliness towards a person or enthusiasm for an idea or project. fashionably attractive or impressive. used to emphasize the size of an amount of money. a fairly low temperature. calmness; composure. the quality of being fashionably attractive or impressive. become or make less hot
   gallery,"a room or building for the display or sale of works of art. a balcony or upper floor projecting from an interior back or side wall of a hall or church, providing space for an audience or musicians. a long room or passage, typically one that is partly open at the side to form a portico or colonnade."
   soccer,a form of football played by two teams of eleven players with a round ball which may not be handled during play except by the goalkeepers.
   defendant,"an individual, company, or institution sued or accused in a court of law"
   tunnel,"an artificial underground passage, especially one built through a hill or under a building, road, or river. a long, half-cylindrical enclosure used to protect plants, made of clear plastic stretched over hoops. dig or force a passage underground or through something. (of a particle) pass through a potential barrier."
   fitness,the condition of being physically fit and healthy. the quality of being suitable to fulfil a particular role or task
   lap,"the flat area between the waist and knees of a seated person. a hanging flap on a garment or a saddle.. one circuit of a track during a race. an overlapping or projecting part. a single turn of rope, thread, or cable round a drum or reel.. (in a lapping machine) a rotating disc with a coating of fine abrasive for polishing.. overtake (a competitor in a race) to become one or more laps ahead. wrap or enfold someone or something in (something soft). project beyond or overlap something. polish (metal, glass, or a gem) with a lapping machine. (of an animal) take up (liquid) with quick movements of the tongue. (of water) wash against (something) with a gentle rippling sound. the action or sound of water washing gently against something"
   grave,"a hole dug in the ground to receive a coffin or dead body, typically marked by a stone or mound. giving cause for alarm; serious. serious or solemn in manner or appearance. engrave (an inscription or image) on a surface. clean (a ship's bottom) by burning off the accretions and then tarring it. (as a direction) slowly; with solemnity."
   toe,"any of the five digits at the end of the human foot. the lower end, tip, or point of something.. push, touch, or kick with one's toe. walk with the toes pointed in (or out)"
   container,an object for holding or transporting something
   virtue,behaviour showing high moral standards. (in traditional Christian angelology) the seventh-highest order of the ninefold celestial hierarchy.
   abroad,in or to a foreign country or countries. in different directions; over a wide area. out of doors. wide of the mark; in error.. foreign countries considered collectively
   architect,a person who designs buildings and in many cases also supervises their construction. design and configure (a program or system)
   dramatically,in a way that relates to drama or the performance of drama. by a strikingly large amount or to a strikingly large extent; greatly
   makeup,"cosmetics such as lipstick or powder applied to the face, used to enhance or alter the appearance. the composition or constitution of something. the arrangement of text, illustrations, etc. on a printed page. a supplementary test or assignment given to a student who missed or failed the original one"
   inquiry,an act of asking for information
   rose,"a prickly bush or shrub that typically bears red, pink, yellow, or white fragrant flowers, native to north temperate regions and widely grown as an ornamental.. a stylized representation of a rose in heraldry or decoration, typically with five petals (especially as a national emblem of England). a warm pink or light crimson colour. a perforated cap attached to a shower, the spout of a watering can, or the end of a hose to produce a spray. make rosy. any light pink wine, coloured by only brief contact with red grape skins"
   surprisingly,in a way that causes surprise; unexpectedly. used to express surprise at an event or situation
   highlight,"an outstanding part of an event or period of time. a bright or reflective area in a painting, picture, or design.. draw special attention to. create highlights in (hair)"
   decrease,"make or become smaller or fewer in size, amount, intensity, or degree. an instance or example of becoming smaller or fewer"
   indication,a sign or piece of information that indicates something. a symptom that suggests certain medical treatment is necessary
   rail,"a bar or series of bars fixed on upright supports or attached to a wall or ceiling, serving as part of a barrier or used to hang things on. a steel bar or continuous line of bars laid on the ground as one of a pair forming a railway track. the edge of a surfboard or sailboard.. a horizontal piece in the frame of a panelled door or sash window.. a conductor which is maintained at a fixed potential and to which other parts of a circuit are connected. provide or enclose (a space or place) with a rail or rails. convey (goods) by rail. (in windsurfing) sail the board on its edge. complain or protest strongly and persistently about. a secretive bird with drab grey and brown plumage, typically having a long bill and found in dense waterside vegetation."
   anniversary,the date on which an event took place or an institution was founded in a previous year
   couch,"a long upholstered piece of furniture for several people to sit on. express (something) in language of a specified style. lay down. lower (a spear) to the position for attack. treat (a cataract) by pushing the lens of the eye downwards and backwards, out of line with the pupil.. (in embroidery) fix (a thread) to a fabric by stitching it down flat with another thread. a coarse grass with long creeping roots, which can be a serious weed in gardens."
   alliance,"a union or association formed for mutual benefit, especially between countries or organizations"
   hypothesis,a supposition or proposed explanation made on the basis of limited evidence as a starting point for further investigation
   boyfriend,a person's regular male companion with whom they have a romantic or sexual relationship.. denoting an item of clothing for a woman or girl that is designed to be loose-fitting or slightly oversized
   compose,"write or create (a work of art, especially music or poetry). (of elements) constitute or make up (a whole, or a specified part of it). calm or settle (oneself or one's features or thoughts). prepare (a text) for printing by manually, mechanically, or electronically setting up the letters and other characters in the order to be printed"
   peer,"look with difficulty or concentration at someone or something. a member of the nobility in Britain or Ireland, comprising the ranks of duke, marquess, earl, viscount, and baron. a person of the same age, status, or ability as another specified person. make or become equal with"
   mess,"a dirty or untidy state of things or of a place. a situation that is confused and full of problems. a portion of semi-liquid food. a building or room providing meals and recreational facilities for members of the armed forces. a large amount or quantity of. make untidy or dirty. have one's meals with a particular person, especially as a member of an armed forces' mess"
   rank,a position in the hierarchy of the armed forces. a single line of soldiers or police officers drawn up abreast. the people belonging to or constituting a group or class. the value or the order of the largest non-zero determinant of a given matrix.. give (someone or something) a rank or place within a grading system. arrange in a row or rows. (of vegetation) growing too thickly and coarsely. having a foul or offensive smell. (especially of something bad or deficient) complete and utter (used for emphasis)
   legend,"a traditional story sometimes popularly regarded as historical but not authenticated. an extremely famous or notorious person, especially in a particular field. an inscription, especially on a coin or medal.. very well known"
   regulate,control or maintain the rate or speed of (a machine or process) so that it operates properly
   adolescent,(of a young person) in the process of developing from a child into an adult. an adolescent boy or girl
